,q_id,corr_opt,diff_lev,top_id,chap_id,opt_chosen,isResponseCorrect
16067,16067,1,14,3519,304,1,True
15982,15982,2,18,3519,304,2,True
171296,171296,2,22,3519,304,2,True
167283,167283,1,23,3519,304,1,True
161415,161415,3,27,3519,304,3,True
171175,171175,1,27,3519,304,1,True
160861,160861,2,27,3519,304,2,True
171184,171184,4,26,3519,304,4,True
169390,169390,1,26,3519,304,1,True
167276,167276,1,23,3519,304,1,True
167252,167252,3,23,3519,304,3,True
167250,167250,3,23,3519,304,3,True
167238,167238,3,23,3519,304,3,True
161512,161512,3,23,3519,304,3,True
173880,173880,2,23,3519,304,2,True
171176,171176,1,23,3519,304,1,True
171163,171163,1,23,3519,304,1,True
43339,43339,1,18,3519,304,1,True
161151,161151,1,18,3519,304,1,True
167279,167279,1,18,3519,304,1,True
171144,171144,3,18,3519,304,3,True
173883,173883,3,18,3519,304,3,True
43880,43880,1,18,3519,304,1,True
161496,161496,1,18,3519,304,1,True
43341,43341,2,14,3519,304,2,True
167237,167237,2,15,3519,304,2,True
45187,45187,1,17,3519,304,1,True
167270,167270,1,17,3519,304,1,True
171186,171186,4,15,3519,304,4,True
165858,165858,2,14,3519,304,2,True
165857,165857,1,14,3519,304,1,True
165856,165856,4,14,3519,304,4,True
165855,165855,1,14,3519,304,1,True
165854,165854,4,14,3519,304,4,True
165853,165853,2,14,3519,304,2,True
165852,165852,2,14,3519,304,2,True
165851,165851,2,14,3519,304,2,True
165850,165850,1,14,3519,304,1,True
165849,165849,2,14,3519,304,2,True
165848,165848,4,14,3519,304,4,True
165847,165847,4,14,3519,304,4,True
165846,165846,3,14,3519,304,3,True
43310,43310,1,14,3519,304,1,True
43872,43872,1,14,3519,304,1,True
43873,43873,1,14,3519,304,1,True
43882,43882,1,14,3519,304,1,True
43900,43900,1,14,3519,304,1,True
